Column,Data Type,Non-Null Count,Unique Values
Time,object,88,88
Driver,object,88,2
DriverNumber,int64,88,2
LapTime,object,82,80
LapNumber,float64,88,44
Stint,float64,88,2
PitOutTime,object,4,4
PitInTime,object,2,2
Sector1Time,object,86,84
Sector2Time,object,88,86
Sector3Time,object,88,87
Sector1SessionTime,object,86,86
Sector2SessionTime,object,88,88
Sector3SessionTime,object,88,88
SpeedI1,float64,80,34
SpeedI2,float64,88,26
SpeedFL,float64,86,25
SpeedST,float64,69,29
IsPersonalBest,bool,88,2
Compound,object,88,2
TyreLife,float64,88,33
FreshTyre,bool,88,1
Team,object,88,1
LapStartTime,object,88,87
LapStartDate,object,88,87
TrackStatus,int64,88,4
Position,float64,88,9
Deleted,bool,88,1
DeletedReason,float64,0,0
FastF1Generated,bool,88,1
IsAccurate,bool,88,2
